SAMPLING EVENT IDENTIFIER,nearest_station,y_copeton,pm10_ugm3,pm25_ugm3,so2_ugm3,co_ppm,no2_ppb,o3_ppb,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,PROTOCOL NAME,month,OBSERVATION DATE,TIME OBSERVATIONS STARTED,distance_km
S92100658,Usme,0,48.84286,15.5462,0.004241452,0.153302,0.007853903,0.01178673,145.0,0.92,6.0,Traveling,4,2021-04-10,07:44:00,16.027227919753216
S84820283,Bosa,1,23.13423,6.289998,0.008715241,0.279249,0.004402057,0.01913274,146.0,5.45,5.0,Traveling,4,2021-04-01,14:04:00,11.8937877545763
S84811434,Bosa,1,23.13423,6.289998,0.008715241,0.279249,0.004402057,0.01913274,146.0,5.45,5.0,Traveling,4,2021-04-01,14:04:00,11.8937877545763
S91110369,Bosa,1,23.13423,6.289998,0.008715241,0.279249,0.004402057,0.01913274,146.0,5.45,5.0,Traveling,4,2021-04-01,14:04:00,11.8937877545763
S92100714,Usme,0,38.00485,9.22321,0.004414804,0.118001,0.005437387,0.0165013,45.0,0.418,6.0,Traveling,4,2021-04-10,10:38:00,16.31772429147812
S96205001,Usme,0,38.00485,9.22321,0.004414804,0.118001,0.005437387,0.0165013,45.0,0.418,6.0,Traveling,4,2021-04-10,10:38:00,16.31772429147812
S86781132,Usme,1,34.86147,15.30478,0.002950721,0.447798,0.01510394,0.01545529,24.0,0.069,4.0,Traveling,4,2021-04-27,11:49:00,18.224051039559463
S86781133,Usme,1,34.86147,15.30478,0.002950721,0.447798,0.01510394,0.01545529,24.0,0.069,4.0,Traveling,4,2021-04-27,11:49:00,18.224051039559463
S85460896,Bosa,0,18.23304,4.654394,0.003873562,0.804612,0.01988748,0.000499392,81.0,9.494,1.0,Traveling,4,2021-04-13,05:10:00,12.53056585334173
S92100607,Usme,1,32.99374,9.120071,0.00218818,0.698478,0.01467047,5.1973e-05,92.0,0.78,6.0,Traveling,4,2021-04-10,06:02:00,16.381191850296357
S96204999,Usme,1,32.99374,9.120071,0.00218818,0.698478,0.01467047,5.1973e-05,92.0,0.78,6.0,Traveling,4,2021-04-10,06:02:00,16.381191850296357
S85708313,Bosa,1,19.28692,5.998333,0.005106359,0.387946,0.006821732,0.01217868,111.0,4.06,1.0,Traveling,4,2021-04-17,06:21:00,2.343068569479806
S85966430,Bosa,0,46.3891,22.18998,0.003575886,0.840394,0.02212436,1.491e-05,353.0,11.3,1.0,Traveling,4,2021-04-20,05:15:00,12.53056585334173
S87727259,Bosa,1,22.4496,7.235795,0.01457727,0.429156,0.01080049,0.001592718,240.0,5.0,21.0,Traveling,5,2021-05-08,06:20:00,13.556652240359114
S87772027,Bosa,1,22.4496,7.235795,0.01457727,0.429156,0.01080049,0.001592718,240.0,5.0,21.0,Traveling,5,2021-05-08,06:20:00,13.556652240359114
S86849298,Bosa,1,38.85229,13.89254,0.01028329,0.556824,0.008131939,0.00032161,240.0,2.0,12.0,Traveling,5,2021-05-01,06:00:00,12.336190382514152
S87374080,Bosa,1,38.85229,13.89254,0.01028329,0.556824,0.008131939,0.00032161,240.0,2.0,12.0,Traveling,5,2021-05-01,06:00:00,12.336190382514152
S87519835,Bosa,1,26.86439,14.37425,0.01515501,0.447012,0.008844653,0.004002874,250.0,0.889,2.0,Traveling,5,2021-05-08,06:48:00,10.303619692980808
S86847634,Bosa,1,38.85229,13.89254,0.01028329,0.556824,0.008131939,0.00032161,240.0,2.0,12.0,Traveling,5,2021-05-01,06:00:00,12.336190382514152
S87521613,Bosa,1,26.86439,14.37425,0.01515501,0.447012,0.008844653,0.004002874,250.0,0.889,2.0,Traveling,5,2021-05-08,06:48:00,10.303619692980808
S87166512,Bosa,1,38.85229,13.89254,0.01028329,0.556824,0.008131939,0.00032161,240.0,2.0,12.0,Traveling,5,2021-05-01,06:00:00,12.336190382514152
S86980279,Bosa,1,38.85229,13.89254,0.01028329,0.556824,0.008131939,0.00032161,240.0,2.0,12.0,Traveling,5,2021-05-01,06:00:00,12.336190382514152
S86817509,Bosa,1,38.85229,13.89254,0.01028329,0.556824,0.008131939,0.00032161,240.0,2.0,12.0,Traveling,5,2021-05-01,06:00:00,12.336190382514152
S87520184,Bosa,1,26.86439,14.37425,0.01515501,0.447012,0.008844653,0.004002874,250.0,0.889,2.0,Traveling,5,2021-05-08,06:48:00,10.205043454217847
S87213317,Bosa,1,38.85229,13.89254,0.01028329,0.556824,0.008131939,0.00032161,195.0,2.5,3.0,Traveling,5,2021-05-01,06:00:00,10.303619692980808
S87210366,Bosa,1,38.85229,13.89254,0.01028329,0.556824,0.008131939,0.00032161,195.0,2.5,3.0,Traveling,5,2021-05-01,06:00:00,10.303619692980808
S100125573,Bosa,1,38.85229,13.89254,0.01028329,0.556824,0.008131939,0.00032161,195.0,2.5,3.0,Traveling,5,2021-05-01,06:00:00,10.303619692980808
S87465008,Bosa,1,26.86439,14.37425,0.01515501,0.447012,0.008844653,0.004002874,250.0,7.93,2.0,Traveling,5,2021-05-08,07:14:00,10.205043454217847
S91344918,Bosa,0,42.70539,20.20965,0.01474248,0.11756,0.001935111,0.009439669,108.0,0.45,1.0,Traveling,6,2021-06-03,09:15:00,8.610579610846399
S91344969,Bosa,1,39.13111,20.50591,0.01628234,0.832135,0.01894636,0.006234414,107.0,0.36,1.0,Traveling,6,2021-06-04,08:08:00,10.081496609479036
S91344952,Bosa,1,17.59485,15.40615,0.01598131,0.178785,0.003264079,0.0120257,112.0,0.305,1.0,Traveling,6,2021-06-03,13:30:00,8.370597424481433
S90824897,Bosa,0,30.8303,23.15482,0.02965538,0.457561,0.003428879,0.01337603,1.0,4.0,3.0,Traveling,6,2021-06-26,14:57:00,12.53056585334173
S91344835,Bosa,1,55.83767,23.69013,0.01579811,0.399455,0.007772984,0.02098451,92.0,1.87,1.0,Traveling,6,2021-06-02,11:28:00,8.873436313227636
S91098803,Fontibon,0,26.97753,7.943819,0.000396726,0.600054,0.008349575,0.01903543,29.0,13.938,2.0,Traveling,6,2021-06-21,10:32:00,8.917295925263904
S90559847,Fontibon,0,26.97753,7.943819,0.000396726,0.600054,0.008349575,0.01903543,29.0,13.938,2.0,Traveling,6,2021-06-21,10:32:00,8.917295925263904
S90390394,Ciudad Bolivar,0,43.69481,12.95017,0.00391982,0.530777,0.02194354,0.008766965,60.0,1.609,1.0,Traveling,6,2021-06-02,19:00:00,2.6553708311576587
S92963351,Usme,0,43.03258,11.1467,0.002829454,0.369004,0.005652087,0.01569333,44.0,24.1,1.0,Traveling,8,2021-08-06,13:16:00,24.90897195352125
S93881867,Bolivia,1,43.80716,16.45789,0.003155338,0.360394,0.0214183,0.001142516,103.0,0.726,4.0,Traveling,8,2021-08-29,06:26:00,2.6738947098168167
S93329379,Ciudad Bolivar,1,12.64474,12.13822,0.003000686,0.478311,0.01428068,0.01390182,360.0,9.0,2.0,Traveling,8,2021-08-15,09:00:00,22.618175132160076
S93985264,Bolivia,1,27.59923,9.755867,0.001110226,0.395036,0.03086227,0.001222555,29.0,0.872,1.0,Traveling,8,2021-08-31,09:32:00,1.0734345400915208
S92963073,Usme,1,22.59074,8.819559,0.003479001,0.319952,0.00474444,0.01574491,25.0,13.81,2.0,Traveling,8,2021-08-06,14:07:00,11.517409144113092
S94926667,Bolivia,1,26.53608,2.410824,0.000953427,0.19675,0.01274811,0.009310507,286.0,8.56,3.0,Traveling,9,2021-09-17,07:32:00,2.6738947098168167
S94038391,Bolivia,1,14.34066,9.87883,0.000547268,0.525582,0.03083721,0.000468944,181.0,5.513,1.0,Traveling,9,2021-09-01,07:14:00,1.0734345400915208
S95153736,Bolivia,1,29.58375,8.328227,0.001895478,0.70048,0.0269952,0.000983559,600.0,10.0,1.0,Traveling,9,2021-09-10,06:18:00,2.6738947098168167
S94780228,Bolivia,1,26.53608,2.410824,0.000953427,0.19675,0.01274811,0.009310507,286.0,8.56,3.0,Traveling,9,2021-09-17,07:32:00,2.6738947098168167
S94787778,Bolivia,1,26.53608,2.410824,0.000953427,0.19675,0.01274811,0.009310507,286.0,8.56,3.0,Traveling,9,2021-09-17,07:32:00,2.6738947098168167
S95320670,Bolivia,1,47.18725,7.722885,0.002152957,0.55387,0.02953629,0.000849686,240.0,2.5,4.0,Traveling,9,2021-09-28,07:00:00,2.6738947098168167
S95358846,Bolivia,1,47.18725,7.722885,0.002152957,0.55387,0.02953629,0.000849686,240.0,2.5,4.0,Traveling,9,2021-09-28,07:00:00,2.6738947098168167
S95806252,Bolivia,1,15.82635,10.11235,0.000625724,0.242605,0.02835321,0.001441334,40.0,1.12,1.0,Traveling,9,2021-09-01,09:22:00,1.9805151492472324
S94082822,Bolivia,0,38.4889,14.91455,0.000943876,0.124389,0.01756924,0.007519018,16.0,0.504,1.0,Traveling,9,2021-09-02,14:03:00,1.0784574817674624
S97532563,Bolivia,1,13.1325,10.54878,0.001266183,0.061788,0.01740324,0.002520961,47.0,0.64,3.0,Traveling,10,2021-10-15,10:47:00,2.6738947098168167
S96206201,Bolivia,1,13.1325,10.54878,0.001266183,0.061788,0.01740324,0.002520961,47.0,0.64,3.0,Traveling,10,2021-10-15,10:47:00,2.6738947098168167
S96205662,Bolivia,1,34.84501,25.57406,0.006743659,0.317443,0.02528914,0.001311035,65.0,0.5,3.0,Traveling,10,2021-10-15,07:29:00,2.6738947098168167
S97532569,Bolivia,1,34.84501,25.57406,0.006743659,0.317443,0.02528914,0.001311035,65.0,0.5,3.0,Traveling,10,2021-10-15,07:29:00,2.6738947098168167
S268505920,Bolivia,1,47.95337,25.02897,0.002758763,0.350567,0.02674182,0.002622591,240.0,5.0,3.0,Traveling,10,2021-10-02,07:30:00,2.6738947098168167
S96097995,Bolivia,1,47.95337,25.02897,0.002758763,0.350567,0.02674182,0.002622591,240.0,5.0,3.0,Traveling,10,2021-10-02,07:30:00,2.6738947098168167
S97434310,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,420.0,2.5,15.0,Traveling,10,2021-10-30,06:00:00,9.430705590128705
S97028258,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S97066708,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,420.0,2.5,15.0,Traveling,10,2021-10-30,06:00:00,9.430705590128705
S97047268,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,420.0,2.5,15.0,Traveling,10,2021-10-30,06:00:00,9.430705590128705
S97045689,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S97066770,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,420.0,2.5,15.0,Traveling,10,2021-10-30,06:00:00,9.430705590128705
S97870864,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,420.0,2.5,15.0,Traveling,10,2021-10-30,06:00:00,9.430705590128705
S96967500,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S96528839,Colina,1,18.17777,8.674418,0.000540023,0.493057,0.02489044,0.0110622,84.0,2.05,1.0,Traveling,10,2021-10-20,16:12:00,18.914531495530984
S97283687,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S97062100,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S97009933,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,100.0,0.47,10.0,Traveling,10,2021-10-30,06:09:00,7.902680406337224
S96959416,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S97057979,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,420.0,2.5,15.0,Traveling,10,2021-10-30,06:00:00,9.430705590128705
S97138406,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S96951423,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S97010224,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,420.0,2.5,15.0,Traveling,10,2021-10-30,06:00:00,9.430705590128705
S97010278,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S97025778,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,420.0,2.5,15.0,Traveling,10,2021-10-30,06:00:00,9.430705590128705
S97039435,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S97798672,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,410.0,11.756,1.0,Traveling,10,2021-10-30,06:24:00,7.902680406337224
S97089573,Colina,1,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,420.0,2.5,15.0,Traveling,10,2021-10-30,06:00:00,9.430705590128705
S96528785,Colina,1,8.264093,7.380685,0.000550559,0.38808,0.0147002,0.01175161,79.0,1.44,1.0,Traveling,10,2021-10-21,10:21:00,18.914531495530984
S96119486,Colina,1,16.96166,7.296966,0.000470589,0.417553,0.02805059,0.002334279,160.0,0.5,8.0,Traveling,10,2021-10-01,05:24:00,13.4165524630559
S96121513,Colina,1,16.96166,7.296966,0.000470589,0.417553,0.02805059,0.002334279,160.0,0.5,8.0,Traveling,10,2021-10-01,05:24:00,13.4165524630559
S97600420,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S97066551,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S97043115,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S96528877,Colina,0,23.10543,6.451055,0.000769272,0.572265,0.01778966,0.007812874,111.0,0.57,1.0,Traveling,10,2021-10-19,08:24:00,19.415441734258245
S96694371,Usme,1,53.84466,23.46223,0.005613811,0.306784,0.01472773,0.01021902,180.0,4.0,4.0,Traveling,10,2021-10-24,08:00:00,10.000146179226777
S97128278,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S95990558,Usme,1,53.40958,8.564423,0.003718919,0.757066,0.0239206,0.008606711,180.0,50.0,3.0,Traveling,10,2021-10-09,07:34:00,13.5360386623543
S98301033,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S96694579,Usme,1,53.84466,23.46223,0.005613811,0.306784,0.01472773,0.01021902,180.0,4.0,4.0,Traveling,10,2021-10-24,08:00:00,10.000146179226777
S97043050,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S96528811,Colina,0,5.198624,3.458743,0.000885209,0.835192,0.02076592,0.002544759,35.0,1.257,1.0,Traveling,10,2021-10-21,06:34:00,18.914531495530984
S97041475,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S97049338,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S96400623,Colina,1,16.96166,7.296966,0.000470589,0.417553,0.02805059,0.002334279,160.0,0.5,8.0,Traveling,10,2021-10-01,05:24:00,13.4165524630559
S96119485,Colina,1,16.96166,7.296966,0.000470589,0.417553,0.02805059,0.002334279,160.0,0.5,8.0,Traveling,10,2021-10-01,05:24:00,13.4165524630559
S173683842,Colina,1,16.96166,7.296966,0.000470589,0.417553,0.02805059,0.002334279,160.0,0.5,8.0,Traveling,10,2021-10-01,05:24:00,13.4165524630559
S95881273,Usme,1,53.40958,8.564423,0.003718919,0.757066,0.0239206,0.008606711,180.0,50.0,2.0,Traveling,10,2021-10-09,07:34:00,13.5360386623543
S95879523,Usme,1,53.40958,8.564423,0.003718919,0.757066,0.0239206,0.008606711,180.0,50.0,3.0,Traveling,10,2021-10-09,07:34:00,13.5360386623543
S97727224,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S137186120,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S96189928,Colina,1,16.96166,7.296966,0.000470589,0.417553,0.02805059,0.002334279,160.0,0.5,8.0,Traveling,10,2021-10-01,05:24:00,13.4165524630559
S96119483,Colina,1,16.96166,7.296966,0.000470589,0.417553,0.02805059,0.002334279,160.0,0.5,8.0,Traveling,10,2021-10-01,05:24:00,13.4165524630559
S96135152,Colina,1,16.96166,7.296966,0.000470589,0.417553,0.02805059,0.002334279,160.0,0.5,8.0,Traveling,10,2021-10-01,05:24:00,13.4165524630559
S97800610,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S96119484,Colina,1,16.96166,7.296966,0.000470589,0.417553,0.02805059,0.002334279,160.0,0.5,8.0,Traveling,10,2021-10-01,05:24:00,13.4165524630559
S97045348,Colina,0,4.067004,4.131797,0.00045282,0.434967,0.01635219,0.002713426,300.0,3.5,14.0,Traveling,10,2021-10-30,06:15:00,9.290498927858245
S97009907,Colina,0,7.259462,3.45279,0.000539672,0.543803,0.0194948,0.00564007,82.0,0.64,10.0,Traveling,10,2021-10-30,07:53:00,7.902680406337224
S96205727,Bolivia,1,24.81053,16.59245,0.003521821,0.224748,0.03085414,0.001759448,28.0,0.183,3.0,Traveling,10,2021-10-15,08:35:00,2.6738947098168167
S95859044,Fontibon,1,14.04494,4.0,0.002135915,0.144222,0.005287569,0.03324913,240.0,1.2,4.0,Traveling,10,2021-10-09,08:30:00,6.721266338157916
S97532581,Bolivia,1,24.81053,16.59245,0.003521821,0.224748,0.03085414,0.001759448,28.0,0.183,3.0,Traveling,10,2021-10-15,08:35:00,2.6738947098168167
S95601877,Bolivia,1,35.44119,12.2998,0.001227334,0.294324,0.01788602,0.007193054,31.0,0.259,1.0,Traveling,10,2021-10-04,14:58:00,1.4808196049820648
S95902296,Fontibon,1,14.04494,4.0,0.002135915,0.144222,0.005287569,0.03324913,240.0,1.2,4.0,Traveling,10,2021-10-09,08:30:00,6.721266338157916
S142817617,Fontibon,1,14.04494,4.0,0.002135915,0.144222,0.005287569,0.03324913,240.0,1.2,4.0,Traveling,10,2021-10-09,08:30:00,6.721266338157916
S95993761,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,13.0,4.15,2.0,Traveling,10,2021-10-09,06:49:00,16.746673178882087
S95988664,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,13.0,4.15,2.0,Traveling,10,2021-10-09,06:49:00,16.746673178882087
S95989882,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,13.0,4.15,2.0,Traveling,10,2021-10-09,06:49:00,16.746673178882087
S95981778,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,13.0,4.15,2.0,Traveling,10,2021-10-09,06:49:00,16.746673178882087
S95986811,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,13.0,4.15,2.0,Traveling,10,2021-10-09,06:49:00,16.746673178882087
S95981516,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,15.0,5.03,2.0,Traveling,10,2021-10-09,06:32:00,13.62606857263762
S95986812,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,15.0,5.03,2.0,Traveling,10,2021-10-09,06:32:00,13.62606857263762
S95989905,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,15.0,5.03,2.0,Traveling,10,2021-10-09,06:32:00,13.62606857263762
S96528801,Colina,0,9.329325,6.746737,0.000751031,0.601749,0.01933456,0.006338881,34.0,1.252,1.0,Traveling,10,2021-10-21,08:28:00,18.914531495530984
S95981175,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,15.0,5.03,2.0,Traveling,10,2021-10-09,06:32:00,13.62606857263762
S95993759,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,15.0,5.03,2.0,Traveling,10,2021-10-09,06:32:00,13.62606857263762
S95996731,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,15.0,5.03,2.0,Traveling,10,2021-10-09,06:32:00,13.62606857263762
S96528856,Colina,1,19.86422,8.645908,0.000973483,0.670854,0.01951245,0.005397089,35.0,0.16,1.0,Traveling,10,2021-10-20,07:41:00,18.914531495530984
S97009867,Colina,0,6.505978,7.731019,0.000623986,0.410658,0.01590438,0.01580266,108.0,0.52,6.0,Traveling,10,2021-10-30,10:24:00,7.902680406337224
S95996730,Colina,1,4.409605,3.869438,0.000619108,0.509626,0.03398914,0.009025972,13.0,4.15,2.0,Traveling,10,2021-10-09,06:49:00,16.746673178882087
S97426908,Usme,1,91.44449,36.29167,0.006315721,0.745037,0.0247692,0.001664548,39.0,16.953,2.0,Traveling,11,2021-11-08,07:58:00,20.362783517234146
S97305368,Usme,1,91.44449,36.29167,0.006315721,0.745037,0.0247692,0.001664548,39.0,16.953,2.0,Traveling,11,2021-11-08,07:58:00,20.362783517234146
S98310716,Bolivia,1,34.55851,26.1467,0.000431565,0.87054,0.01912713,0.000371773,195.0,2.0,8.0,Traveling,11,2021-11-26,07:20:00,2.6738947098168167
S98006304,Bolivia,1,37.97973,20.89594,0.000820007,0.418541,0.01613353,0.003832108,173.0,1.67,3.0,Traveling,11,2021-11-24,07:52:00,2.6738947098168167
S97581705,Bolivia,0,38.99121,20.15722,0.002022985,0.369524,0.01985064,0.00191512,240.0,4.0,2.0,Traveling,11,2021-11-14,07:00:00,2.9347070670841013
S122711350,Bolivia,1,61.57841,25.37115,0.000989683,1.169435,0.02056874,-1.7467e-05,185.0,4.345,11.0,Traveling,11,2021-11-20,06:19:00,2.6738947098168167
S105404331,Bolivia,1,41.93173,8.279452,0.001339164,0.470701,0.02180052,0.001084892,60.0,1.609,3.0,Traveling,11,2021-11-29,07:00:00,2.6738947098168167
S98219985,Bolivia,1,27.01684,11.29239,0.000918667,0.416159,0.02187604,0.002196511,200.0,1.47,8.0,Traveling,11,2021-11-27,07:27:00,2.6738947098168167
S98310779,Bolivia,1,27.01684,11.29239,0.000918667,0.416159,0.02187604,0.002196511,200.0,1.47,8.0,Traveling,11,2021-11-27,07:27:00,2.6738947098168167
S98109650,Bolivia,1,34.55851,26.1467,0.000431565,0.87054,0.01912713,0.000371773,195.0,2.0,8.0,Traveling,11,2021-11-26,07:20:00,2.6738947098168167
