SAMPLING EVENT IDENTIFIER,SCIENTIFIC NAME,COMMON NAME,OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,PROTOCOL NAME,PROTOCOL CODE,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,matched_hour,nearest_station,distance_km,co_ppm,no2_ppb,o3_ppb,pm10_ugm3,pm25_ugm3,so2_ugm3
S100075696,Setophaga fusca,Blackburnian Warbler,1,4.5034526,-73.9026247,2021-12-27,09:03:00,Traveling,P22,57.0,0.587,7.0,1,9,San Cristobal,21.47950190914014,0.607239,,0.01804407,32.0,31.0,
S99206723,Setophaga fusca,Blackburnian Warbler,5,4.7700404,-74.0061728,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,7.902680406337224,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S101353236,Setophaga fusca,Blackburnian Warbler,5,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99207253,Setophaga fusca,Blackburnian Warbler,5,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99212781,Setophaga fusca,Blackburnian Warbler,5,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99461945,Setophaga fusca,Blackburnian Warbler,1,4.711549,-73.924173,2021-12-22,12:36:00,Traveling,P22,10.0,0.082,1.0,1,13,Colina,16.350257484565507,0.352672,0.01498934,0.01503713,29.64352,14.49194,0.000971617
S99628002,Setophaga fusca,Blackburnian Warbler,5,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99164480,Setophaga fusca,Blackburnian Warbler,2,4.792827,-74.010946,2021-12-18,04:58:00,Traveling,P22,521.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99163445,Setophaga fusca,Blackburnian Warbler,5,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99509549,Setophaga fusca,Blackburnian Warbler,1,4.5034526,-73.9026247,2021-12-27,09:03:00,Traveling,P22,57.0,0.587,7.0,1,9,San Cristobal,21.47950190914014,0.607239,,0.01804407,32.0,31.0,
S100502712,Setophaga fusca,Blackburnian Warbler,5,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99217335,Setophaga fusca,Blackburnian Warbler,5,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99628002,Conirostrum sitticolor,Blue-backed Conebill,7,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S100502712,Conirostrum sitticolor,Blue-backed Conebill,7,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S101353236,Conirostrum sitticolor,Blue-backed Conebill,7,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99217335,Conirostrum sitticolor,Blue-backed Conebill,7,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99207253,Conirostrum sitticolor,Blue-backed Conebill,7,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99206723,Conirostrum sitticolor,Blue-backed Conebill,7,4.7700404,-74.0061728,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,7.902680406337224,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99164480,Conirostrum sitticolor,Blue-backed Conebill,2,4.792827,-74.010946,2021-12-18,04:58:00,Traveling,P22,521.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99212781,Conirostrum sitticolor,Blue-backed Conebill,7,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99163445,Conirostrum sitticolor,Blue-backed Conebill,7,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S98640862,Pheucticus aureoventris,Black-backed Grosbeak,1,4.6643333,-73.9643611,2021-12-08,14:00:00,Traveling,P22,140.0,5.488,1.0,1,14,MinAmbiente,12.20059278950444,,,0.03299257,57.0601,35.0,
S99461900,Pheucticus aureoventris,Black-backed Grosbeak,1,4.6643333,-73.9643611,2021-12-22,14:05:00,Traveling,P22,85.0,0.188,1.0,1,14,MinAmbiente,12.20059278950444,,,0.02690179,50.78427,24.0,
S99207253,Kleinothraupis atropileus,Black-capped Hemispingus,3,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S101353236,Kleinothraupis atropileus,Black-capped Hemispingus,3,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99163445,Kleinothraupis atropileus,Black-capped Hemispingus,3,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99217335,Kleinothraupis atropileus,Black-capped Hemispingus,3,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99212781,Kleinothraupis atropileus,Black-capped Hemispingus,3,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99164480,Kleinothraupis atropileus,Black-capped Hemispingus,3,4.792827,-74.010946,2021-12-18,04:58:00,Traveling,P22,521.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99628002,Kleinothraupis atropileus,Black-capped Hemispingus,3,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S100502712,Kleinothraupis atropileus,Black-capped Hemispingus,3,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S100075696,Stilpnia heinei,Black-capped Tanager,1,4.5034526,-73.9026247,2021-12-27,09:03:00,Traveling,P22,57.0,0.587,7.0,1,9,San Cristobal,21.47950190914014,0.607239,,0.01804407,32.0,31.0,
S99793020,Stilpnia heinei,Black-capped Tanager,1,4.5034526,-73.9026247,2021-12-27,09:03:00,Traveling,P22,57.0,0.587,7.0,1,9,San Cristobal,21.47950190914014,0.607239,,0.01804407,32.0,31.0,
S99509549,Stilpnia heinei,Black-capped Tanager,1,4.5034526,-73.9026247,2021-12-27,09:03:00,Traveling,P22,57.0,0.587,7.0,1,9,San Cristobal,21.47950190914014,0.607239,,0.01804407,32.0,31.0,
S99164480,Tyranniscus nigrocapillus,Black-capped Tyrannulet,1,4.792827,-74.010946,2021-12-18,04:58:00,Traveling,P22,521.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99207253,Tyranniscus nigrocapillus,Black-capped Tyrannulet,1,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S101353236,Tyranniscus nigrocapillus,Black-capped Tyrannulet,1,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99212781,Tyranniscus nigrocapillus,Black-capped Tyrannulet,1,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99163445,Tyranniscus nigrocapillus,Black-capped Tyrannulet,1,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S100502712,Tyranniscus nigrocapillus,Black-capped Tyrannulet,1,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99628002,Tyranniscus nigrocapillus,Black-capped Tyrannulet,1,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99217335,Tyranniscus nigrocapillus,Black-capped Tyrannulet,1,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99217335,Myiothlypis nigrocristata,Black-crested Warbler,8,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99207253,Myiothlypis nigrocristata,Black-crested Warbler,8,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S100502712,Myiothlypis nigrocristata,Black-crested Warbler,8,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99163445,Myiothlypis nigrocristata,Black-crested Warbler,8,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99628002,Myiothlypis nigrocristata,Black-crested Warbler,8,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S98918921,Myiothlypis nigrocristata,Black-crested Warbler,2,4.75562,-73.954881,2021-12-15,07:00:00,Traveling,P22,180.0,2.0,1.0,1,7,Colina,12.85846854603453,0.728968,0.0172211,0.002617331,27.79843,21.22395,0.002102117
S101353236,Myiothlypis nigrocristata,Black-crested Warbler,8,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99206723,Myiothlypis nigrocristata,Black-crested Warbler,8,4.7700404,-74.0061728,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,7.902680406337224,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S98629030,Myiothlypis nigrocristata,Black-crested Warbler,1,4.6469412,-73.9650146,2021-12-01,08:10:00,Traveling,P22,257.0,1.422,1.0,1,8,MinAmbiente,11.582720428860602,,,0.01548065,17.96427,37.0,
S99164480,Myiothlypis nigrocristata,Black-crested Warbler,6,4.792827,-74.010946,2021-12-18,04:58:00,Traveling,P22,521.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99212781,Myiothlypis nigrocristata,Black-crested Warbler,8,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99217335,Sphenopsis melanotis,Black-eared Hemispingus,2,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99628002,Sphenopsis melanotis,Black-eared Hemispingus,2,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S101353236,Sphenopsis melanotis,Black-eared Hemispingus,2,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99163445,Sphenopsis melanotis,Black-eared Hemispingus,2,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99164480,Sphenopsis melanotis,Black-eared Hemispingus,5,4.792827,-74.010946,2021-12-18,04:58:00,Traveling,P22,521.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99212781,Sphenopsis melanotis,Black-eared Hemispingus,2,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99207253,Sphenopsis melanotis,Black-eared Hemispingus,2,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S100502712,Sphenopsis melanotis,Black-eared Hemispingus,2,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99164480,Pseudospingus verticalis,Black-headed Hemispingus,4,4.792827,-74.010946,2021-12-18,04:58:00,Traveling,P22,521.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99207253,Pseudospingus verticalis,Black-headed Hemispingus,6,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99628002,Pseudospingus verticalis,Black-headed Hemispingus,6,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S100502712,Pseudospingus verticalis,Black-headed Hemispingus,6,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99163445,Pseudospingus verticalis,Black-headed Hemispingus,6,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S101353236,Pseudospingus verticalis,Black-headed Hemispingus,6,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99212781,Pseudospingus verticalis,Black-headed Hemispingus,6,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99217335,Pseudospingus verticalis,Black-headed Hemispingus,6,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99206723,Pseudospingus verticalis,Black-headed Hemispingus,6,4.7700404,-74.0061728,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,7.902680406337224,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99026535,Diglossa humeralis,Black Flowerpiercer,1,4.6643333,-73.9643611,2021-12-05,15:18:00,Stationary,P21,70.0,,4.0,1,15,MinAmbiente,12.20059278950444,,,0.01860614,11.77422,0.0,
S99163445,Diglossa humeralis,Black Flowerpiercer,4,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S98994047,Diglossa humeralis,Black Flowerpiercer,2,4.6643333,-73.9643611,2021-12-17,08:21:00,Traveling,P22,199.0,0.315,1.0,1,8,MinAmbiente,12.20059278950444,,,0.01143756,27.01601,24.0,
S98730533,Diglossa humeralis,Black Flowerpiercer,1,4.661589,-74.00793,2021-12-10,06:34:00,Stationary,P21,10.0,,3.0,1,7,MinAmbiente,7.713626411339279,,,0.008911186,19.72418,20.0,
S100502712,Diglossa humeralis,Black Flowerpiercer,4,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S98605126,Diglossa humeralis,Black Flowerpiercer,1,4.6643333,-73.9643611,2021-12-05,14:31:00,Traveling,P22,156.0,1.5,3.0,1,15,MinAmbiente,12.20059278950444,,,0.01860614,11.77422,0.0,
S98704490,Diglossa humeralis,Black Flowerpiercer,1,4.6643333,-73.9643611,2021-12-08,14:00:00,Traveling,P22,150.0,1.0,7.0,1,14,MinAmbiente,12.20059278950444,,,0.03299257,57.0601,35.0,
S99206723,Diglossa humeralis,Black Flowerpiercer,4,4.7700404,-74.0061728,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,7.902680406337224,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S98528088,Diglossa humeralis,Black Flowerpiercer,1,4.6643333,-73.9643611,2021-12-05,15:18:00,Stationary,P21,70.0,,4.0,1,15,MinAmbiente,12.20059278950444,,,0.01860614,11.77422,0.0,
S98477406,Diglossa humeralis,Black Flowerpiercer,1,4.7302826,-74.1493195,2021-12-03,07:09:00,Traveling,P22,169.0,3.491,1.0,1,7,Bolivia,2.6738947098168167,0.807958,0.01853,0.001525238,52.23042,16.65247,0.00369982
S99217335,Diglossa humeralis,Black Flowerpiercer,4,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S98730532,Diglossa humeralis,Black Flowerpiercer,1,4.661589,-74.00793,2021-12-10,06:34:00,Stationary,P21,10.0,,3.0,1,7,MinAmbiente,7.713626411339279,,,0.008911186,19.72418,20.0,
S98658720,Diglossa humeralis,Black Flowerpiercer,1,4.7302826,-74.1493195,2021-12-09,10:01:00,Stationary,P21,22.0,,1.0,0,10,Bolivia,2.6738947098168167,0.226854,0.01710815,0.0102883,49.38909,16.3832,0.001084059
S99207253,Diglossa humeralis,Black Flowerpiercer,4,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99333802,Diglossa humeralis,Black Flowerpiercer,3,4.6643333,-73.9643611,2021-12-23,14:19:00,Traveling,P22,119.0,0.064,1.0,1,14,MinAmbiente,12.20059278950444,,,0.04087776,63.27091,43.0,
S98918921,Diglossa humeralis,Black Flowerpiercer,1,4.75562,-73.954881,2021-12-15,07:00:00,Traveling,P22,180.0,2.0,1.0,1,7,Colina,12.85846854603453,0.728968,0.0172211,0.002617331,27.79843,21.22395,0.002102117
S98769094,Diglossa humeralis,Black Flowerpiercer,2,4.438003,-74.2349636,2021-12-11,13:50:00,Traveling,P22,90.0,1.5,2.0,1,14,Usme,17.148670500293335,0.325926,0.01358656,0.03669637,33.29901,17.30368,0.002579237
S101353236,Diglossa humeralis,Black Flowerpiercer,4,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S104949855,Diglossa humeralis,Black Flowerpiercer,2,4.6643333,-73.9643611,2021-12-18,09:00:00,Stationary,P21,120.0,,1.0,1,9,MinAmbiente,12.20059278950444,,,0.01036127,25.13434,6.0,
S99179353,Diglossa humeralis,Black Flowerpiercer,1,4.7302826,-74.1493195,2021-12-20,08:26:00,Traveling,P22,112.0,2.111,1.0,1,8,Bolivia,2.6738947098168167,0.270247,0.02207819,0.004699495,62.32907,26.06183,0.008242707
S99174715,Diglossa humeralis,Black Flowerpiercer,1,4.6643333,-73.9643611,2021-12-08,14:00:00,Traveling,P22,150.0,1.0,7.0,1,14,MinAmbiente,12.20059278950444,,,0.03299257,57.0601,35.0,
S98791713,Diglossa humeralis,Black Flowerpiercer,1,4.6643333,-73.9643611,2021-12-08,14:00:00,Traveling,P22,150.0,1.0,7.0,1,14,MinAmbiente,12.20059278950444,,,0.03299257,57.0601,35.0,
S99212781,Diglossa humeralis,Black Flowerpiercer,4,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99628002,Diglossa humeralis,Black Flowerpiercer,4,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99164480,Diglossa humeralis,Black Flowerpiercer,2,4.792827,-74.010946,2021-12-18,04:58:00,Traveling,P22,521.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S98680344,Diglossa humeralis,Black Flowerpiercer,1,4.6643333,-73.9643611,2021-12-08,14:00:00,Traveling,P22,150.0,1.0,7.0,1,14,MinAmbiente,12.20059278950444,,,0.03299257,57.0601,35.0,
S100075696,Sayornis nigricans,Black Phoebe,3,4.5034526,-73.9026247,2021-12-27,09:03:00,Traveling,P22,57.0,0.587,7.0,1,9,San Cristobal,21.47950190914014,0.607239,,0.01804407,32.0,31.0,
S99791926,Sayornis nigricans,Black Phoebe,1,4.5034526,-73.9026247,2021-12-27,10:54:00,Traveling,P22,65.0,0.69,7.0,1,11,San Cristobal,21.47950190914014,0.625459,,0.0318183,58.0,41.0,
S98730522,Sayornis nigricans,Black Phoebe,1,4.723661,-73.96425,2021-12-10,13:39:00,Incidental,P20,,,3.0,0,14,Colina,11.754767414271033,0.405189,0.01658763,0.01653839,21.21384,17.51356,0.000763604
S99793020,Sayornis nigricans,Black Phoebe,3,4.5034526,-73.9026247,2021-12-27,09:03:00,Traveling,P22,57.0,0.587,7.0,1,9,San Cristobal,21.47950190914014,0.607239,,0.01804407,32.0,31.0,
S99793100,Sayornis nigricans,Black Phoebe,1,4.5034526,-73.9026247,2021-12-27,10:54:00,Traveling,P22,65.0,0.69,7.0,1,11,San Cristobal,21.47950190914014,0.625459,,0.0318183,58.0,41.0,
S98730523,Sayornis nigricans,Black Phoebe,1,4.723661,-73.96425,2021-12-10,13:39:00,Incidental,P20,,,3.0,0,14,Colina,11.754767414271033,0.405189,0.01658763,0.01653839,21.21384,17.51356,0.000763604
S100075693,Sayornis nigricans,Black Phoebe,1,4.5034526,-73.9026247,2021-12-27,10:54:00,Traveling,P22,65.0,0.69,7.0,1,11,San Cristobal,21.47950190914014,0.625459,,0.0318183,58.0,41.0,
S99509549,Sayornis nigricans,Black Phoebe,3,4.5034526,-73.9026247,2021-12-27,09:03:00,Traveling,P22,57.0,0.587,7.0,1,9,San Cristobal,21.47950190914014,0.607239,,0.01804407,32.0,31.0,
S98629030,Coragyps atratus,Black Vulture,4,4.6469412,-73.9650146,2021-12-01,08:10:00,Traveling,P22,257.0,1.422,1.0,1,8,MinAmbiente,11.582720428860602,,,0.01548065,17.96427,37.0,
S99509549,Coragyps atratus,Black Vulture,50,4.5034526,-73.9026247,2021-12-27,09:03:00,Traveling,P22,57.0,0.587,7.0,1,9,San Cristobal,21.47950190914014,0.607239,,0.01804407,32.0,31.0,
S98617895,Coragyps atratus,Black Vulture,4,4.669322,-73.922373,2021-12-08,06:52:00,Traveling,P22,64.0,0.526,1.0,1,7,MinAmbiente,16.785461486205204,,,0.006484165,25.71503,18.0,
S99212781,Coragyps atratus,Black Vulture,12,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S99217335,Coragyps atratus,Black Vulture,12,4.792827,-74.010946,2021-12-18,04:53:00,Traveling,P22,565.0,4.101,10.0,1,5,Colina,8.956029254552595,0.470721,0.01563509,0.001676005,7.808814,4.622782,0.000674302
S98519046,Coragyps atratus,Black Vulture,2,4.6643333,-73.9643611,2021-12-05,15:29:00,Traveling,P22,92.0,0.257,8.0,1,15,MinAmbiente,12.20059278950444,,,0.01860614,11.77422,0.0,
S100075693,Coragyps atratus,Black Vulture,8,4.5034526,-73.9026247,2021-12-27,10:54:00,Traveling,P22,65.0,0.69,7.0,1,11,San Cristobal,21.47950190914014,0.625459,,0.0318183,58.0,41.0,
S99026536,Coragyps atratus,Black Vulture,2,4.6602629,-73.9517842,2021-12-05,14:31:00,Stationary,P21,15.0,,4.0,1,15,MinAmbiente,13.373846781845332,,,0.01860614,11.77422,0.0,
S99791926,Coragyps atratus,Black Vulture,8,4.5034526,-73.9026247,2021-12-27,10:54:00,Traveling,P22,65.0,0.69,7.0,1,11,San Cristobal,21.47950190914014,0.625459,,0.0318183,58.0,41.0,
S99283240,Coragyps atratus,Black Vulture,8,4.671392,-73.979409,2021-12-22,11:39:00,Traveling,P22,44.0,2.864,1.0,1,12,MinAmbiente,11.001565157981657,,,0.03963867,35.55552,20.0,
S99228297,Coragyps atratus,Black Vulture,2,4.7299923,-74.1481897,2021-12-18,10:35:00,Traveling,P22,58.0,1.366,4.0,1,11,Bolivia,2.5602050470831275,0.207528,0.02160486,0.006099974,30.33411,10.0737,0.002483814
